trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.5, 'e': 0.95}",20,0,-131.837470581763,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.95}",20,0,-11.880989293229662,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.95}",20,0,-105.61375440119261,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.95}",25,0,-105.55906503846771,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
137,False,"{'a': 0.5, 'e': 0.95}",25,0,-72.198428819619,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.95}",25,0,-16.169135965636332,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.95}",25,0,-84.60301305081802,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.95}",20,0,-127.07763919588307,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
141,False,"{'a': 0.5, 'e': 0.95}",30,0,-86.21637001187759,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.95}",30,0,-57.71636296618604,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.95}",30,0,-175.4825265567086,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.95}",30,23,-10.363830920455666,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.95}",25,0,-77.72544778924565,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.95}",20,0,-50.6433399069634,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.95}",30,8,-139.93989904966068,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 2}",1
148,False,"{'a': 0.5, 'e': 0.95}",20,0,-85.08847197997869,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.95}",20,0,-115.96291538118682,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.95}",25,0,-81.87369932031558,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.95}",20,0,-41.04956752312352,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.95}",20,0,-112.41886732748932,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.95}",35,2,-343.3192235460819,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 7}",1
154,False,"{'a': 0.5, 'e': 0.95}",30,0,-144.8869648482048,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
155,False,"{'a': 0.5, 'e': 0.95}",20,0,-84.29340981734946,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.95}",25,0,-82.05353959997376,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.95}",20,0,-11.228824413682087,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.95}",20,0,-66.07619000085455,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
159,False,"{'a': 0.5, 'e': 0.95}",30,0,-215.1841804700106,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
160,False,"{'a': 0.5, 'e': 0.95}",25,0,-158.4203358324421,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.95}",20,0,-46.93080988460893,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.95}",20,0,-91.70397030801234,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.95}",25,0,-168.20462871522724,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
164,False,"{'a': 0.5, 'e': 0.95}",30,0,-186.58068129396642,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.95}",20,0,-36.68843977874461,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.95}",35,14,-67.07467480828393,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.95}",20,0,-169.7351036734277,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
168,False,"{'a': 0.5, 'e': 0.95}",30,0,-220.1658616154541,"{0: 19, 1: 1, 2: 4, 3: 2, 4: 4}",0
169,False,"{'a': 0.5, 'e': 0.95}",20,0,-72.75775150263836,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.95}",25,1,-178.07838661501435,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 3}",1
171,False,"{'a': 0.5, 'e': 0.95}",25,6,-87.87055329508738,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.95}",20,0,-130.68779368145422,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
173,False,"{'a': 0.5, 'e': 0.95}",30,4,-193.09353006259883,"{0: 11, 1: 6, 2: 4, 3: 3, 4: 2}",1
174,False,"{'a': 0.5, 'e': 0.95}",35,21,-26.762234280945858,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.95}",25,18,7.776025236862698,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.95}",20,0,-71.07558586214748,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.95}",20,0,-57.93159703075417,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.95}",20,0,-28.963949498675554,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.95}",30,9,-121.23004148109574,"{0: 9, 1: 3, 2: 6, 3: 3, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.95}",20,0,-110.72004930203477,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
181,False,"{'a': 0.5, 'e': 0.95}",20,0,-122.17084270059362,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
182,False,"{'a': 0.5, 'e': 0.95}",20,0,-124.21448988232729,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
183,False,"{'a': 0.5, 'e': 0.95}",30,0,-83.84406833314456,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
184,False,"{'a': 0.5, 'e': 0.95}",20,12,-5.526088541160203,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.95}",20,10,-62.18403486249885,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
186,False,"{'a': 0.5, 'e': 0.95}",20,10,-33.41576710580466,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.95}",20,0,-97.87742089710662,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
188,False,"{'a': 0.5, 'e': 0.95}",35,0,-139.05049994720014,"{0: 24, 1: 2, 2: 6, 3: 1, 4: 2}",0
189,False,"{'a': 0.5, 'e': 0.95}",30,0,-108.8806373080748,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
